epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1294.26,0.3642,0.35312,0.87602,0.49438,0.6,0.54605,0.24858,1.70169,2.73342,2.49277,0.000990365,0.000990365,0.000990365
43,1324.74,0.41481,0.35326,0.90225,0.36793,0.56826,0.38234,0.17295,1.89199,2.64423,2.76011,0.000973861,0.000973861,0.000973861
44,1355.35,0.36732,0.37773,0.88353,0.38487,0.475,0.36053,0.17593,1.95727,3.54696,2.71063,0.000957358,0.000957358,0.000957358
45,1385.98,0.38489,0.3529,0.90407,0.38487,0.475,0.36053,0.17593,1.95727,3.54696,2.71063,0.000940855,0.000940855,0.000940855
46,1416.69,0.39284,0.35135,0.91816,0.64178,0.42454,0.3236,0.13719,2.19403,3.6371,2.99669,0.000924352,0.000924352,0.000924352
47,1447.21,0.3716,0.34553,0.92293,0.65967,0.31859,0.26459,0.14215,1.99285,2.98127,2.73075,0.000907848,0.000907848,0.000907848
48,1477.84,0.39512,0.34621,0.91388,0.46852,0.31025,0.20262,0.11485,1.98127,3.31628,2.51137,0.000891345,0.000891345,0.000891345
49,1508.41,0.39768,0.34303,0.93107,0.46852,0.31025,0.20262,0.11485,1.98127,3.31628,2.51137,0.000874842,0.000874842,0.000874842
50,1538.92,0.36617,0.32411,0.90909,0.42766,0.3,0.19026,0.11262,1.90878,3.3017,2.46412,0.000858338,0.000858338,0.000858338
51,1569.4,0.40501,0.33688,0.89045,0.44664,0.325,0.14035,0.06695,2.05053,3.71406,2.56183,0.000841835,0.000841835,0.000841835
52,1599.9,0.38508,0.35485,0.89115,0.5099,0.31013,0.14064,0.07566,2.14618,3.50185,2.72454,0.000825332,0.000825332,0.000825332
53,1630.47,0.36949,0.33157,0.89623,0.5099,0.31013,0.14064,0.07566,2.14618,3.50185,2.72454,0.000808828,0.000808828,0.000808828
54,1661.01,0.35861,0.32774,0.91101,0.51824,0.3,0.17059,0.08522,2.09683,3.4268,2.84032,0.000792325,0.000792325,0.000792325
55,1691.56,0.35047,0.31186,0.87501,0.37677,0.34711,0.18023,0.07719,2.1021,3.20105,2.93597,0.000775822,0.000775822,0.000775822
56,1722.2,0.37637,0.29763,0.87585,0.32452,0.35,0.21509,0.08369,2.16142,2.9306,3.10521,0.000759318,0.000759318,0.000759318
57,1752.66,0.4052,0.34823,0.92608,0.32452,0.35,0.21509,0.08369,2.16142,2.9306,3.10521,0.000742815,0.000742815,0.000742815
58,1783.17,0.35099,0.29718,0.87759,0.44888,0.33982,0.26915,0.12921,2.08928,2.56437,3.16779,0.000726312,0.000726312,0.000726312
59,1813.92,0.35401,0.2902,0.90126,0.43243,0.375,0.32918,0.20012,2.07967,2.14453,3.16939,0.000709809,0.000709809,0.000709809
60,1844.69,0.37313,0.31278,0.91791,0.54242,0.48461,0.36313,0.20864,2.10125,2.17028,2.95609,0.000693305,0.000693305,0.000693305
61,1875.29,0.35482,0.30888,0.88345,0.54242,0.48461,0.36313,0.20864,2.10125,2.17028,2.95609,0.000676802,0.000676802,0.000676802
62,1905.96,0.36792,0.3224,0.9134,0.58381,0.56883,0.44376,0.22696,2.05208,2.24327,2.73852,0.000660299,0.000660299,0.000660299
63,1936.66,0.34064,0.31167,0.89951,0.63841,0.71334,0.5779,0.24622,1.96677,2.10985,2.48075,0.000643795,0.000643795,0.000643795
64,1967.24,0.33911,0.31218,0.90298,0.78932,0.5979,0.63366,0.28845,1.83407,1.8479,2.34229,0.000627292,0.000627292,0.000627292
65,1997.72,0.32856,0.2906,0.89056,0.78932,0.5979,0.63366,0.28845,1.83407,1.8479,2.34229,0.000610789,0.000610789,0.000610789
66,2028.2,0.32791,0.28126,0.88638,0.70302,0.74687,0.71438,0.33463,1.76958,1.78738,2.22477,0.000594286,0.000594286,0.000594286
67,2058.79,0.37548,0.32067,0.92032,0.85432,0.68811,0.81187,0.36275,1.73743,1.65786,2.16658,0.000577782,0.000577782,0.000577782
68,2089.32,0.35051,0.27858,0.86774,0.88704,0.78367,0.89499,0.4635,1.65575,1.33306,2.06825,0.000561279,0.000561279,0.000561279
69,2119.8,0.33053,0.28687,0.88996,0.88704,0.78367,0.89499,0.4635,1.65575,1.33306,2.06825,0.000544776,0.000544776,0.000544776
70,2150.46,0.32541,0.27531,0.89943,0.84602,0.74602,0.84437,0.43873,1.59368,1.33601,2.04578,0.000528272,0.000528272,0.000528272
71,2180.93,0.3119,0.26673,0.84866,0.70152,0.69238,0.71929,0.37522,1.65448,1.63304,2.07018,0.000511769,0.000511769,0.000511769
72,2211.49,0.31083,0.2618,0.86287,0.56422,0.6819,0.60453,0.28945,1.84416,1.96299,2.27564,0.000495266,0.000495266,0.000495266
73,2242.08,0.33012,0.2676,0.86724,0.56422,0.6819,0.60453,0.28945,1.84416,1.96299,2.27564,0.000478762,0.000478762,0.000478762
74,2272.88,0.33494,0.285,0.91042,0.51275,0.73067,0.57485,0.25745,1.9458,2.10429,2.4461,0.000462259,0.000462259,0.000462259
75,2303.51,0.30908,0.25637,0.84861,0.54166,0.7,0.55291,0.26537,1.97438,2.2292,2.47561,0.000445756,0.000445756,0.000445756
